number,value,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_depth,params_l2_leaf_reg,params_learning_rate,params_subsample
117,0.445693269,,Plain,Bernoulli,4,20,0.001959562,0.392056831
118,0.566980686,,Plain,Bernoulli,4,17,0.058604834,0.360542143
119,0.567397512,,Plain,Bernoulli,4,17,0.089592353,0.352262881
120,0.473334753,,Plain,MVS,4,17,0.086757789,
121,0.567541697,,Plain,Bernoulli,4,17,0.072034155,0.337829524
122,0.567854309,,Plain,Bernoulli,4,17,0.074446041,0.3506373
123,0.565565,,Plain,Bernoulli,5,17,0.098800501,0.27470982
124,0.566888397,,Plain,Bernoulli,4,17,0.070833497,0.302065506
125,0.567494562,,Plain,Bernoulli,5,18,0.085226895,0.343541648
126,0.566818797,,Plain,Bernoulli,5,17,0.076290368,0.352636887
127,0.568021532,,Plain,Bernoulli,4,18,0.099155257,0.29462478
128,0.561814035,3.367412391,Plain,Bayesian,4,18,0.095615808,
129,0.568313091,,Plain,Bernoulli,4,18,0.08555195,0.356900852
130,0.565233546,,Plain,Bernoulli,4,18,0.084488751,0.299617769
131,0.566013471,,Plain,Bernoulli,4,18,0.054106721,0.25355972
132,0.567477481,,Plain,Bernoulli,4,19,0.076291712,0.34133938
133,0.567140958,,Plain,Bernoulli,4,19,0.098255208,0.353452937
134,0.566276752,,Plain,Bernoulli,4,18,0.076869047,0.33048441
135,0.565842629,,Plain,Bernoulli,4,19,0.050558374,0.290355215
136,0.56340776,,Plain,Bernoulli,4,20,0.034424581,0.370053323
137,0.007302323,,Plain,Bernoulli,4,17,1.00E-05,0.404782563
138,0.566527651,,Plain,Bernoulli,4,19,0.054076365,0.344740673
139,0.566600478,,Plain,Bernoulli,4,18,0.084404886,0.314525358
140,0.568243603,,Plain,Bernoulli,5,16,0.070654138,0.508860076
141,0.365129949,,Plain,Bernoulli,5,16,0.000969538,0.502146692
142,0.567187904,,Plain,Bernoulli,4,18,0.070295528,0.396546797
143,0.565118078,,Plain,Bernoulli,5,17,0.099043086,0.375509928
144,0.565066742,,Plain,Bernoulli,4,17,0.05417651,0.259166914
145,0.566544823,,Plain,Bernoulli,5,19,0.072825985,0.291995553
146,0.564086093,,Plain,Bernoulli,4,18,0.037612408,0.331440012
147,0.565798468,,Plain,Bernoulli,5,18,0.08249101,0.41326572
148,0.568118385,,Plain,Bernoulli,4,16,0.051427294,0.457488667
149,0.475114763,,Plain,MVS,4,16,0.063686401,
150,0.563160579,,Plain,Bernoulli,4,15,0.029685813,0.5024293
151,0.566000471,,Plain,Bernoulli,4,17,0.048430359,0.342575741
152,0.566557174,,Plain,Bernoulli,4,16,0.056699775,0.463597412
153,0.565920245,,Plain,Bernoulli,6,18,0.072152141,0.313841226
